LDA_Model,alpha,eta,coherence_score
5,default,default,0.49548858111269334
6,default,default,0.5106847069416153
7,default,default,0.5032587746647524
8,default,default,0.5023897928393076
9,default,default,0.4672033104319111
10,default,default,0.48876159364391675
11,default,default,0.5178447776201999
12,default,default,0.5157928188725774
13,default,default,0.5287296993248979
14,default,default,0.5307228103031544
15,default,default,0.5413295144490949
16,default,default,0.5390548724845006
17,default,default,0.5425330104138261
18,default,default,0.5488556257703356
19,default,default,0.5463909742294885
20,default,default,0.5575364349177823
21,default,default,0.5528283381856516
22,default,default,0.5399984224367066
23,default,default,0.558082830839517
24,default,default,0.5444364363309165
25,default,default,0.5623353433632041
26,default,default,0.5569371758422879
27,default,default,0.567903211689563
28,default,default,0.5508713929433904
29,default,default,0.5424720920083678
30,default,default,0.54761572555201
